n,Sr No,Folder,Picture,Composition,composition_final,Element,Fraction,Frac,H2_W%,Pressure,Temperature,Che_pot,AN,Period,AR,Cr,VWR,EN,Density,EA,MP,BP,VEC,FIE,TC,BM,HF,MV,Mass,SH,M-M_Eng,M-M_Bond,M-H_Bond,M-H_Eng,formation_H,en_at_H,formation_M,en_at_M,vol_H,vol_M,vol_diff,EN.Diff,M-H.EN.Diff,Atomic.Size.Diff,dSmix,ele_lst,frac_lst,Element_corrected,frac_corrected,composition_final
12689,201,PCT,88.pdf-006.jpg,Mg80 Ni20,Mg0.8Ni0.2,Mg Ni,0.8 0.2,0.8 0.2,4.40687078549298,1.23138959686572,573,5980.7448080246,15.2,3.2,1.53,128.2,216,1.43,3.174,0.232,1082.8,1705,3.6,7.648,146.2,72,10.4,12.502,31.186,905,-0.888,3.192,1.708,-2.702,-0.256,-3.414,0.008,-2.428,50.462,37.938,0.232,0.24,-0.77,9.17,4.1606,"['Mg', 'Ni']","['0.8', '0.2']","['Mg', 'Ni']",[0.8 0.2],Mg0.8Ni0.2
12690,201,PCT,88.pdf-006.jpg,Mg80 Ni20,Mg0.8Ni0.2,Mg Ni,0.8 0.2,0.8 0.2,4.47847184253691,2.15443469003188,573,7313.24235592646,15.2,3.2,1.53,128.2,216,1.43,3.174,0.232,1082.8,1705,3.6,7.648,146.2,72,10.4,12.502,31.186,905,-0.888,3.192,1.708,-2.702,-0.256,-3.414,0.008,-2.428,50.462,37.938,0.232,0.24,-0.77,9.17,4.1606,"['Mg', 'Ni']","['0.8', '0.2']","['Mg', 'Ni']",[0.8 0.2],Mg0.8Ni0.2
12780,202,PCT,88.pdf-006.jpg,Mg90 Ni10,Mg0.9Ni0.1,Mg Ni,0.9 0.1,0.9 0.1,0.0350829232731911,0.0196691372461207,573,-3873.53938343563,13.6,3.1,1.565,129.1,218,1.37,2.457,0.116,1002.4,1542.5,2.8,7.649,153.1,58.5,9.55,13.241,27.748,962.5,-0.469,3.331,1.739,-2.446,-0.273,-3.252,0.009,-2.009,55.216,41.369,0.241,0.18,-0.83,6.71,2.7029,"['Mg', 'Ni']","['0.9', '0.1']","['Mg', 'Ni']",[0.9 0.1],Mg0.9Ni0.1
12781,202,PCT,88.pdf-006.jpg,Mg90 Ni10,Mg0.9Ni0.1,Mg Ni,0.9 0.1,0.9 0.1,0.0418261344997264,0.0418281759832812,573,-2076.21710952149,13.6,3.1,1.565,129.1,218,1.37,2.457,0.116,1002.4,1542.5,2.8,7.649,153.1,58.5,9.55,13.241,27.748,962.5,-0.469,3.331,1.739,-2.446,-0.273,-3.252,0.009,-2.009,55.216,41.369,0.241,0.18,-0.83,6.71,2.7029,"['Mg', 'Ni']","['0.9', '0.1']","['Mg', 'Ni']",[0.9 0.1],Mg0.9Ni0.1
12782,202,PCT,88.pdf-006.jpg,Mg90 Ni10,Mg0.9Ni0.1,Mg Ni,0.9 0.1,0.9 0.1,0.056907235283397,0.0760949668545988,573,-650.754616417185,13.6,3.1,1.565,129.1,218,1.37,2.457,0.116,1002.4,1542.5,2.8,7.649,153.1,58.5,9.55,13.241,27.748,962.5,-0.469,3.331,1.739,-2.446,-0.273,-3.252,0.009,-2.009,55.216,41.369,0.241,0.18,-0.83,6.71,2.7029,"['Mg', 'Ni']","['0.9', '0.1']","['Mg', 'Ni']",[0.9 0.1],Mg0.9Ni0.1
12783,202,PCT,88.pdf-006.jpg,Mg90 Ni10,Mg0.9Ni0.1,Mg Ni,0.9 0.1,0.9 0.1,0.0717833059959905,0.155628952911074,573,1053.60271229449,13.6,3.1,1.565,129.1,218,1.37,2.457,0.116,1002.4,1542.5,2.8,7.649,153.1,58.5,9.55,13.241,27.748,962.5,-0.469,3.331,1.739,-2.446,-0.273,-3.252,0.009,-2.009,55.216,41.369,0.241,0.18,-0.83,6.71,2.7029,"['Mg', 'Ni']","['0.9', '0.1']","['Mg', 'Ni']",[0.9 0.1],Mg0.9Ni0.1
12784,202,PCT,88.pdf-006.jpg,Mg90 Ni10,Mg0.9Ni0.1,Mg Ni,0.9 0.1,0.9 0.1,0.410196828868234,0.184304832724857,573,1456.45080817179,13.6,3.1,1.565,129.1,218,1.37,2.457,0.116,1002.4,1542.5,2.8,7.649,153.1,58.5,9.55,13.241,27.748,962.5,-0.469,3.331,1.739,-2.446,-0.273,-3.252,0.009,-2.009,55.216,41.369,0.241,0.18,-0.83,6.71,2.7029,"['Mg', 'Ni']","['0.9', '0.1']","['Mg', 'Ni']",[0.9 0.1],Mg0.9Ni0.1
12785,202,PCT,88.pdf-006.jpg,Mg90 Ni10,Mg0.9Ni0.1,Mg Ni,0.9 0.1,0.9 0.1,0.894113358848186,0.179571449437164,573,1394.47417803683,13.6,3.1,1.565,129.1,218,1.37,2.457,0.116,1002.4,1542.5,2.8,7.649,153.1,58.5,9.55,13.241,27.748,962.5,-0.469,3.331,1.739,-2.446,-0.273,-3.252,0.009,-2.009,55.216,41.369,0.241,0.18,-0.83,6.71,2.7029,"['Mg', 'Ni']","['0.9', '0.1']","['Mg', 'Ni']",[0.9 0.1],Mg0.9Ni0.1
12786,202,PCT,88.pdf-006.jpg,Mg90 Ni10,Mg0.9Ni0.1,Mg Ni,0.9 0.1,0.9 0.1,1.71653453617642,0.196691372461207,573,1611.39238350922,13.6,3.1,1.565,129.1,218,1.37,2.457,0.116,1002.4,1542.5,2.8,7.649,153.1,58.5,9.55,13.241,27.748,962.5,-0.469,3.331,1.739,-2.446,-0.273,-3.252,0.009,-2.009,55.216,41.369,0.241,0.18,-0.83,6.71,2.7029,"['Mg', 'Ni']","['0.9', '0.1']","['Mg', 'Ni']",[0.9 0.1],Mg0.9Ni0.1
12787,202,PCT,88.pdf-006.jpg,Mg90 Ni10,Mg0.9Ni0.1,Mg Ni,0.9 0.1,0.9 0.1,3.75569527975214,0.381874715430743,573,3191.79645195095,13.6,3.1,1.565,129.1,218,1.37,2.457,0.116,1002.4,1542.5,2.8,7.649,153.1,58.5,9.55,13.241,27.748,962.5,-0.469,3.331,1.739,-2.446,-0.273,-3.252,0.009,-2.009,55.216,41.369,0.241,0.18,-0.83,6.71,2.7029,"['Mg', 'Ni']","['0.9', '0.1']","['Mg', 'Ni']",[0.9 0.1],Mg0.9Ni0.1
12788,202,PCT,88.pdf-006.jpg,Mg90 Ni10,Mg0.9Ni0.1,Mg Ni,0.9 0.1,0.9 0.1,5.13397576088937,0.586626370612141,573,4214.41084917796,13.6,3.1,1.565,129.1,218,1.37,2.457,0.116,1002.4,1542.5,2.8,7.649,153.1,58.5,9.55,13.241,27.748,962.5,-0.469,3.331,1.739,-2.446,-0.273,-3.252,0.009,-2.009,55.216,41.369,0.241,0.18,-0.83,6.71,2.7029,"['Mg', 'Ni']","['0.9', '0.1']","['Mg', 'Ni']",[0.9 0.1],Mg0.9Ni0.1
12789,202,PCT,88.pdf-006.jpg,Mg90 Ni10,Mg0.9Ni0.1,Mg Ni,0.9 0.1,0.9 0.1,5.44769455075633,0.924914727721732,573,5299.00187653993,13.6,3.1,1.565,129.1,218,1.37,2.457,0.116,1002.4,1542.5,2.8,7.649,153.1,58.5,9.55,13.241,27.748,962.5,-0.469,3.331,1.739,-2.446,-0.273,-3.252,0.009,-2.009,55.216,41.369,0.241,0.18,-0.83,6.71,2.7029,"['Mg', 'Ni']","['0.9', '0.1']","['Mg', 'Ni']",[0.9 0.1],Mg0.9Ni0.1
12790,202,PCT,88.pdf-006.jpg,Mg90 Ni10,Mg0.9Ni0.1,Mg Ni,0.9 0.1,0.9 0.1,5.55180426462548,1.40246701373404,573,6290.62795869946,13.6,3.1,1.565,129.1,218,1.37,2.457,0.116,1002.4,1542.5,2.8,7.649,153.1,58.5,9.55,13.241,27.748,962.5,-0.469,3.331,1.739,-2.446,-0.273,-3.252,0.009,-2.009,55.216,41.369,0.241,0.18,-0.83,6.71,2.7029,"['Mg', 'Ni']","['0.9', '0.1']","['Mg', 'Ni']",[0.9 0.1],Mg0.9Ni0.1
12791,202,PCT,88.pdf-006.jpg,Mg90 Ni10,Mg0.9Ni0.1,Mg Ni,0.9 0.1,0.9 0.1,5.61561417896847,2.09910372010855,573,7251.26572579149,13.6,3.1,1.565,129.1,218,1.37,2.457,0.116,1002.4,1542.5,2.8,7.649,153.1,58.5,9.55,13.241,27.748,962.5,-0.469,3.331,1.739,-2.446,-0.273,-3.252,0.009,-2.009,55.216,41.369,0.241,0.18,-0.83,6.71,2.7029,"['Mg', 'Ni']","['0.9', '0.1']","['Mg', 'Ni']",[0.9 0.1],Mg0.9Ni0.1
12792,202,PCT,88.pdf-006.jpg,Mg90 Ni10,Mg0.9Ni0.1,Mg Ni,0.9 0.1,0.9 0.1,5.69584928011664,2.65294846443189,573,7809.05539700622,13.6,3.1,1.565,129.1,218,1.37,2.457,0.116,1002.4,1542.5,2.8,7.649,153.1,58.5,9.55,13.241,27.748,962.5,-0.469,3.331,1.739,-2.446,-0.273,-3.252,0.009,-2.009,55.216,41.369,0.241,0.18,-0.83,6.71,2.7029,"['Mg', 'Ni']","['0.9', '0.1']","['Mg', 'Ni']",[0.9 0.1],Mg0.9Ni0.1
